datetime;aqi;co;no;no2;o3;so2;pm2_5;pm10;nh3;next_aqi;temperature;wind_speed;humidity
2020-11-25 02:00:00;5;694.28;13.08;17.99;0.11;30.52;64.53;65.13;0.0;5.0;14.2;6.5;93
2020-11-25 03:00:00;5;607.49;8.94;16.28;0.23;29.56;64.32;64.84;0.0;5.0;14.1;6.6;92
2020-11-25 04:00:00;5;574.11;7.15;15.59;0.31;32.42;65.15;65.64;0.0;5.0;14.0;6.8;93
2020-11-25 05:00:00;5;554.09;5.81;15.59;0.56;35.29;66.35;66.84;0.0;5.0;13.5;6.5;93
2020-11-25 06:00:00;5;560.76;5.87;15.25;0.54;25.27;67.44;67.95;0.0;5.0;13.3;5.5;92
2020-11-25 07:00:00;5;660.9;10.39;17.31;0.39;19.07;69.03;69.63;0.0;5.0;13.3;4.7;92
2020-11-25 08:00:00;5;400.54;0.16;14.57;26.11;52.93;51.87;52.27;0.0;5.0;13.3;4.0;92
2020-11-25 09:00:00;5;427.25;0.65;15.59;20.56;61.04;52.73;53.15;0.0;5.0;13.8;5.4;92
2020-11-25 10:00:00;5;440.6;0.75;15.77;16.63;72.48;55.05;55.47;0.0;5.0;14.2;3.9;91
2020-11-25 11:00:00;5;420.57;0.35;14.74;25.75;121.12;70.88;71.27;0.0;5.0;14.5;3.3;90
2020-11-25 12:00:00;5;407.22;0.59;13.02;31.11;167.85;84.19;84.57;0.0;5.0;15.0;4.2;89
2020-11-25 13:00:00;5;393.87;0.76;12.0;33.62;192.64;82.68;83.07;0.0;5.0;15.7;1.6;86
2020-11-25 14:00:00;5;420.57;1.24;13.2;26.46;154.5;80.95;81.38;0.0;5.0;15.4;3.2;87
2020-11-25 15:00:00;5;487.33;2.1;16.79;16.09;110.63;80.49;80.99;0.0;5.0;16.0;6.4;82
2020-11-25 16:00:00;5;547.41;1.98;21.42;10.28;101.09;75.71;76.26;0.0;5.0;15.6;4.5;86
2020-11-25 17:00:00;5;567.44;1.16;25.71;8.94;112.53;69.45;70.05;0.0;5.0;15.6;3.9;86
2020-11-25 18:00:00;5;567.44;0.94;27.42;9.66;112.53;65.02;65.65;0.0;5.0;14.1;4.1;92
2020-11-25 19:00:00;5;600.82;0.89;28.79;9.66;105.86;62.8;63.46;0.0;5.0;13.7;3.9;93
2020-11-25 20:00:00;5;614.17;0.49;27.08;13.77;108.72;58.32;59.0;0.0;5.0;13.4;4.7;93
2020-11-25 21:00:00;5;574.11;0.15;22.96;21.1;112.53;53.76;54.39;0.0;4.0;14.1;3.6;90
2020-11-25 22:00:00;4;520.71;0.05;19.71;27.9;111.58;49.49;50.06;0.0;4.0;13.5;5.2;91
2020-11-25 23:00:00;4;487.33;0.03;17.48;31.83;97.28;44.67;45.19;0.0;4.0;13.3;5.2;91
2020-11-26 00:00:00;4;433.92;0.01;14.22;33.98;76.29;39.23;39.73;0.0;4.0;12.8;4.4;92
2020-11-26 01:00:00;4;373.84;0.01;10.71;37.19;65.8;33.26;33.76;0.0;4.0;12.7;4.1;91
2020-11-26 02:00:00;4;357.15;0.01;9.77;33.26;47.68;30.83;31.37;0.0;4.0;13.8;3.3;82
2020-11-26 03:00:00;4;373.84;0.03;10.28;27.18;37.67;29.88;30.48;0.0;4.0;13.1;5.4;83
2020-11-26 04:00:00;4;400.54;0.04;10.71;24.32;39.1;29.07;29.69;0.0;4.0;14.1;3.6;77
2020-11-26 05:00:00;4;423.91;0.06;11.31;22.35;41.96;28.72;29.3;0.0;4.0;14.3;2.3;76
2020-11-26 06:00:00;4;453.95;0.13;12.85;18.77;35.76;28.89;29.4;0.0;4.0;14.0;3.3;77
2020-11-26 07:00:00;4;567.44;0.84;21.08;11.44;34.33;31.42;31.93;0.0;4.0;13.6;4.6;76
2020-11-26 08:00:00;4;370.5;0.02;11.82;48.64;97.28;26.71;27.27;0.0;3.0;14.5;2.3;77
2020-11-26 09:00:00;3;357.15;0.2;11.31;50.78;88.69;24.54;25.2;0.0;3.0;14.6;4.4;88
2020-11-26 10:00:00;3;340.46;0.55;9.85;53.64;84.88;22.84;23.56;0.0;2.0;15.7;7.5;86
2020-11-26 11:00:00;2;267.03;0.38;5.14;67.95;93.46;19.81;20.53;0.0;2.0;16.2;8.0;84
